"","state","pollster","number.of.observations","start.date","end.date","other","undecided","mode","population","pollsterFullName","year","democrat","republican","ID","race_id"
"1356","FL","Quinnipiac",1228,"3/28/12","3/31/12",9,0,"Live Phone","Registered Voters","Quinnipiac","2012",49,42,1356,1356
"1357","OH","Quinnipiac",1246,"3/28/12","3/31/12",12,0,"Live Phone","Registered Voters","Quinnipiac","2012",47,41,1357,1357
"1358","PA","Quinnipiac",1232,"3/28/12","3/31/12",13,0,"Live Phone","Registered Voters","Quinnipiac","2012",45,42,1358,1358
"1359","NE","Public Policy",1028,"3/28/12","3/31/12",10,0,"Live Phone","Likely Voters","Public Policy","2012",39,51,1359,1359
"1360","WI","Rasmussen",500,"3/29/12","4/1/12",7,0,"Live Phone","Likely Voters","Rasmussen","2012",52,41,1360,1360
"1361","OH","Rasmussen",500,"3/29/12","4/1/12",12,0,"Live Phone","Likely Voters","Rasmussen","2012",48,40,1361,1361
"1362","WI","NBC/Marist",2792,"3/30/12","4/2/12",13,0,"Live Phone","Registered Voters","NBC/Marist","2012",52,35,1362,1362
"1363","CA","SurveyUSA",1995,"4/3/12","4/6/12",7,0,"Live Phone","Registered Voters","SurveyUSA","2012",62,31,1363,1363
"1364","NV","Public Policy",553,"4/4/12","4/7/12",6,0,"Live Phone","Registered Voters","Public Policy","2012",51,43,1364,1364
"1365","IN","Howey / DePauw",503,"4/4/12","4/7/12",11,0,"Live Phone","Likely Voters","Howey / DePauw","2012",40,49,1365,1365
"1366","MT","Rasmussen",500,"4/4/12","4/7/12",11,0,"Live Phone","Likely Voters","Rasmussen","2012",40,49,1366,1366
"1367","NY","Quinnipiac",1597,"4/5/12","4/8/12",11,0,"Live Phone","Registered Voters","Quinnipiac","2012",56,33,1367,1367
"1368","--","Pew",2373,"4/4/12","4/9/12",0,4,"Live Phone","Likely Voters","Pew","2012",49,45,1368,1368
"1369","ME","Maine People's Resource Center",993,"4/7/12","4/10/12",8,0,"Live Phone","Registered Voters","Maine People's Resource Center","2012",55,37,1369,1369
"1370","MI","EPIC-MRA",600,"4/9/12","4/12/12",10,0,"Live Phone","Likely Voters","EPIC-MRA","2012",47,43,1370,1370
"1371","CA","SurveyUSA",1995,"4/10/12","4/13/12",7,0,"Live Phone","Registered Voters","SurveyUSA","2012",62,31,1371,1371
"1372","NY","Siena College",808,"4/10/12","4/13/12",5,0,"Live Phone","Registered Voters","Siena College","2012",60,35,1372,1372
"1373","CO","Public Policy",542,"4/10/12","4/13/12",7,0,"Live Phone","Registered Voters","Public Policy","2012",53,40,1373,1373
"1374","NM","Rasmussen",500,"4/10/12","4/13/12",12,0,"Live Phone","Likely Voters","Rasmussen","2012",52,36,1374,1374
"1375","VA","Roanoke College",603,"4/10/12","4/13/12",14,0,"Live Phone","Registered Voters","Roanoke College","2012",40,46,1375,1375
"1376","MA","Rasmussen",500,"4/11/12","4/14/12",9,0,"Live Phone","Likely Voters","Rasmussen","2012",51,40,1376,1376
"1377","NC","Public Policy",975,"4/11/12","4/14/12",7,0,"Live Phone","Registered Voters","Public Policy","2012",49,44,1377,1377
"1378","NJ","Quinnipiac",1607,"4/12/12","4/15/12",11,0,"Live Phone","Registered Voters","Quinnipiac","2012",49,40,1378,1378
"1379","--","Quinnipiac",2577,"4/11/12","4/16/12",2,8,"Live Phone","Likely Voters","Quinnipiac","2012",46,42,1379,1379
"1380","--","Gallup ",2200,"4/11/12","4/16/12",2,4,"Live Phone","Likely Voters","Gallup ","2012",45,47,1380,1380
"1381","NC","Rasmussen",500,"4/13/12","4/16/12",10,0,"Live Phone","Likely Voters","Rasmussen","2012",44,46,1381,1381
"1382","--","Public Policy Polling",900,"4/12/12","4/17/12",0,2,"Live Phone","Likely Voters","Public Policy Polling","2012",49,46,1382,1382
"1383","--","Reuters/Ipsos",891,"4/12/12","4/17/12",2,6,"Live Phone","Likely Voters","Reuters/Ipsos","2012",47,43,1383,1383
"1384","--","Rasmussen ",1500,"4/12/12","4/17/12",2,4,"Live Phone","Likely Voters","Rasmussen ","2012",44,48,1384,1384
"1385","--","CNN/Opinion Research",910,"4/13/12","4/18/12",0,2,"Live Phone","Likely Voters","CNN/Opinion Research","2012",52,43,1385,1385
"1386","--","NBC/Wall Street Journal",1000,"4/13/12","4/18/12",2,4,"Live Phone","Likely Voters","NBC/Wall Street Journal","2012",49,43,1386,1386
"1387","--","CBS News/New York Times",852,"4/13/12","4/18/12",2,4,"Live Phone","Likely Voters","CBS News/New York Times","2012",46,46,1387,1387
"1388","--","YouGov/YouGov",1000,"4/14/12","4/19/12",2,6,"Live Phone","Likely Voters","YouGov/YouGov","2012",49,42,1388,1388
"1389","NY","NY1/YNN-Marist",632,"4/17/12","4/20/12",8,0,"Live Phone","Registered Voters","NY1/YNN-Marist","2012",57,35,1389,1389
"1390","FL","Public Policy",700,"4/17/12","4/20/12",5,0,"Live Phone","Registered Voters","Public Policy","2012",50,45,1390,1390
"1391","--","Rasmussen ",1500,"4/15/12","4/20/12",2,6,"Live Phone","Likely Voters","Rasmussen ","2012",43,47,1391,1391
"1392","--","Gallup ",2200,"4/16/12","4/21/12",2,6,"Live Phone","Likely Voters","Gallup ","2012",45,46,1392,1392
"1393","NH","Rockefeller Ctr. (Dartmouth)",403,"4/18/12","4/21/12",14,0,"Live Phone","Registered Voters","Rockefeller Ctr. (Dartmouth)","2012",42,44,1393,1393
"1394","FL","Fox News",757,"4/19/12","4/22/12",12,0,"Live Phone","Registered Voters","Fox News","2012",45,43,1394,1394
"1395","MO","Rasmussen",500,"4/19/12","4/22/12",7,0,"Live Phone","Likely Voters","Rasmussen","2012",45,48,1395,1395
"1396","OH","Fox News",606,"4/19/12","4/22/12",16,0,"Live Phone","Registered Voters","Fox News","2012",45,39,1396,1396
"1397","OH","Rasmussen",500,"4/20/12","4/23/12",12,0,"Live Phone","Likely Voters","Rasmussen","2012",46,42,1397,1397
"1398","--","Public Policy Polling/Daily Kos/SEIU",1000,"4/19/12","4/24/12",2,4,"Live Phone","Likely Voters","Public Policy Polling/Daily Kos/SEIU","2012",49,44,1398,1398
"1399","--","National Journal",1004,"4/19/12","4/24/12",4,8,"Live Phone","Likely Voters","National Journal","2012",47,39,1399,1399
"1400","NH","Granite State Poll - Univ. of NH",538,"4/23/12","4/26/12",7,0,"Live Phone","Registered Voters","Granite State Poll - Univ. of NH","2012",51,42,1400,1400
"1401","--","Gallup ",2200,"4/21/12","4/26/12",2,4,"Live Phone","Likely Voters","Gallup ","2012",50,43,1401,1401
"1402","OH","Purple Strategies",600,"4/23/12","4/26/12",7,0,"Live Phone","Likely Voters","Purple Strategies","2012",49,44,1402,1402
"1403","VA","Purple Strategies",600,"4/23/12","4/26/12",6,0,"Live Phone","Likely Voters","Purple Strategies","2012",48,46,1403,1403
"1404","CO","Purple Strategies",600,"4/23/12","4/26/12",6,0,"Live Phone","Likely Voters","Purple Strategies","2012",47,47,1404,1404
"1405","FL","Purple Strategies",600,"4/23/12","4/26/12",8,0,"Live Phone","Likely Voters","Purple Strategies","2012",45,47,1405,1405
"1406","AZ","Arizona St. Morrison Inst.",488,"4/23/12","4/26/12",18,0,"Live Phone","Registered Voters","Arizona St. Morrison Inst.","2012",40,42,1406,1406
"1407","TX","Public Policy",591,"4/24/12","4/27/12",7,0,"Live Phone","Registered Voters","Public Policy","2012",43,50,1407,1407
"1408","NM","Public Policy",526,"4/25/12","4/28/12",6,0,"Live Phone","Registered Voters","Public Policy","2012",54,40,1408,1408
"1409","VA","Rasmussen",500,"4/25/12","4/28/12",11,0,"Live Phone","Likely Voters","Rasmussen","2012",44,45,1409,1409
"1410","AZ","Behavior Research Center",511,"4/25/12","4/28/12",18,0,"Live Phone","Registered Voters","Behavior Research Center","2012",42,40,1410,1410
"1411","--","Rasmussen ",1500,"4/24/12","4/29/12",2,4,"Live Phone","Likely Voters","Rasmussen ","2012",47,46,1411,1411
"1412","FL","Rasmussen",500,"4/27/12","4/30/12",9,0,"Live Phone","Likely Voters","Rasmussen","2012",45,46,1412,1412
"1413","--","Investor's Business Daily/Christian Science Monitor/TIPP",856,"4/27/12","5/2/12",2,6,"Live Phone","Likely Voters","Investor's Business Daily/Christian Science Monitor/TIPP","2012",46,43,1413,1413
"1414","--","Gallup ",2200,"4/27/12","5/2/12",2,6,"Live Phone","Likely Voters","Gallup ","2012",45,46,1414,1414
"1415","VA","Public Policy",680,"5/1/12","5/4/12",6,0,"Live Phone","Registered Voters","Public Policy","2012",51,43,1415,1415
"1416","NC","SurveyUSA",1636,"5/1/12","5/4/12",10,0,"Live Phone","Registered Voters","SurveyUSA","2012",47,43,1416,1416
"1417","--","Politico/George Washington University",1000,"4/29/12","5/4/12",0,2,"Live Phone","Likely Voters","Politico/George Washington University","2012",47,48,1417,1417
"1418","WV","The West Va. Poll (R.L. Repass)",410,"5/1/12","5/4/12",9,0,"Live Phone","Registered Voters","The West Va. Poll (R.L. Repass)","2012",37,54,1418,1418
"1419","NV","Rasmussen",500,"5/2/12","5/5/12",4,0,"Live Phone","Likely Voters","Rasmussen","2012",52,44,1419,1419
"1420","WI","Marquette Univ. Law School",705,"5/2/12","5/5/12",7,0,"Live Phone","Registered Voters","Marquette Univ. Law School","2012",51,42,1420,1420
"1421","--","Rasmussen ",1500,"4/30/12","5/5/12",2,4,"Live Phone","Likely Voters","Rasmussen ","2012",47,45,1421,1421
"1422","MT","Public Policy",934,"5/2/12","5/5/12",9,0,"Live Phone","Registered Voters","Public Policy","2012",43,48,1422,1422
"1423","VA","Washington Post",1101,"5/3/12","5/6/12",5,0,"Live Phone","Registered Voters","Washington Post","2012",51,44,1423,1423
"1424","PA","Quinnipiac",1168,"5/3/12","5/6/12",14,0,"Live Phone","Registered Voters","Quinnipiac","2012",47,39,1424,1424
"1425","OH","Quinnipiac",1130,"5/3/12","5/6/12",14,0,"Live Phone","Registered Voters","Quinnipiac","2012",44,42,1425,1425
"1426","AZ","Magellan Strategies",909,"5/3/12","5/6/12",5,0,"Live Phone","Likely Voters","Magellan Strategies","2012",43,52,1426,1426
"1427","FL","Quinnipiac",1169,"5/3/12","5/6/12",13,0,"Live Phone","Registered Voters","Quinnipiac","2012",43,44,1427,1427
"1428","MT","Rasmussen",450,"5/4/12","5/7/12",5,0,"Live Phone","Registered Voters","Rasmussen","2012",44,51,1428,1428
"1429","--","Associated Press",871,"5/3/12","5/8/12",2,4,"Live Phone","Likely Voters","Associated Press","2012",50,42,1429,1429
"1430","--","Reuters",900,"5/3/12","5/8/12",2,6,"Live Phone","Likely Voters","Reuters","2012",49,42,1430,1430
"1431","--","Gallup ",3000,"5/3/12","5/8/12",2,6,"Live Phone","Likely Voters","Gallup ","2012",44,47,1431,1431
"1432","IA","Public Policy",1181,"5/8/12","5/11/12",8,0,"Live Phone","Registered Voters","Public Policy","2012",51,41,1432,1432
"1433","OH","Public Policy",875,"5/8/12","5/11/12",7,0,"Live Phone","Registered Voters","Public Policy","2012",50,43,1433,1433
"1434","MA","Rasmussen",500,"5/9/12","5/12/12",9,0,"Live Phone","Likely Voters","Rasmussen","2012",56,35,1434,1434
"1435","NJ","Fairleigh Dickinson U.",797,"5/9/12","5/12/12",14,0,"Live Phone","Registered Voters","Fairleigh Dickinson U.","2012",50,36,1435,1435
"1436","FL","Suffolk University",600,"5/9/12","5/12/12",9,0,"Live Phone","Registered Voters","Suffolk University","2012",46,45,1436,1436
"1437","--","Angus Reid Public Opinion",769,"5/7/12","5/12/12",2,6,"Live Phone","Likely Voters","Angus Reid Public Opinion","2012",45,46,1437,1437
"1438","WA","SurveyUSA",557,"5/10/12","5/13/12",14,0,"Live Phone","Registered Voters","SurveyUSA","2012",50,36,1438,1438
"1439","OR","SurveyUSA",1468,"5/10/12","5/13/12",10,0,"Live Phone","Registered Voters","SurveyUSA","2012",47,43,1439,1439
"1440","--","Gallup ",2200,"5/8/12","5/13/12",2,6,"Live Phone","Likely Voters","Gallup ","2012",46,45,1440,1440
"1441","OH","Quinnipiac",1069,"5/10/12","5/13/12",11,0,"Live Phone","Registered Voters","Quinnipiac","2012",45,44,1441,1441
"1442","GA","Landmark/RosettaStone",600,"5/10/12","5/13/12",8.7,0,"Live Phone","Registered Voters","Landmark/RosettaStone","2012",40.2,51.1,1442,1442
"1443","MN","SurveyUSA",516,"5/11/12","5/14/12",10,0,"Live Phone","Registered Voters","SurveyUSA","2012",52,38,1443,1443
"1444","WI","Rasmussen",500,"5/11/12","5/14/12",6,0,"Live Phone","Likely Voters","Rasmussen","2012",49,45,1444,1444
"1445","--","Pew",3003,"5/9/12","5/14/12",2,6,"Live Phone","Likely Voters","Pew","2012",49,42,1445,1445
"1446","MI","Glengariff Group",600,"5/11/12","5/14/12",15.4,0,"Live Phone","Registered Voters","Glengariff Group","2012",45.1,39.5,1446,1446
"1447","ME","Critical Insights",600,"5/12/12","5/15/12",8,0,"Live Phone","Registered Voters","Critical Insights","2012",50,42,1447,1447
"1448","--","Gallup ",3050,"5/11/12","5/16/12",2,6,"Live Phone","Likely Voters","Gallup ","2012",45,46,1448,1448
"1449","--","CBS News/New York Times",562,"5/11/12","5/16/12",2,6,"Live Phone","Likely Voters","CBS News/New York Times","2012",43,46,1449,1449
"1450","NY","Siena College",766,"5/14/12","5/17/12",6,0,"Live Phone","Registered Voters","Siena College","2012",57,37,1450,1450
"1451","--","Rasmussen ",1500,"5/12/12","5/17/12",2,6,"Live Phone","Likely Voters","Rasmussen ","2012",46,45,1451,1451
"1452","NH","Public Policy",1163,"5/15/12","5/18/12",6,0,"Live Phone","Registered Voters","Public Policy","2012",53,41,1452,1452
"1453","WI","Public Policy",851,"5/15/12","5/18/12",7,0,"Live Phone","Registered Voters","Public Policy","2012",47,46,1453,1453
"1454","--","Fox News/Anderson Robbins/Shaw & Co.",913,"5/13/12","5/18/12",4,10,"Live Phone","Likely Voters","Fox News/Anderson Robbins/Shaw & Co.","2012",46,39,1454,1454
"1455","NJ","Quinnipiac",1582,"5/16/12","5/19/12",12,0,"Live Phone","Registered Voters","Quinnipiac","2012",49,39,1455,1455
"1456","NC","Public Policy",666,"5/16/12","5/19/12",5,0,"Live Phone","Registered Voters","Public Policy","2012",48,47,1456,1456
"1457","WI","Marquette Univ. Law School",704,"5/16/12","5/19/12",8,0,"Live Phone","Registered Voters","Marquette Univ. Law School","2012",46,46,1457,1457
"1458","NC","Rasmussen",500,"5/16/12","5/19/12",6,0,"Live Phone","Likely Voters","Rasmussen","2012",43,51,1458,1458
"1459","--","NBC/WSJ",1000,"5/16/12","5/21/12",2,6,"Live Phone","Likely Voters","NBC/WSJ","2012",47,43,1459,1459
"1460","NE","Rasmussen",500,"5/18/12","5/21/12",8,0,"Live Phone","Likely Voters","Rasmussen","2012",39,53,1460,1460
"1461","--","ABC News/Washington Post",1004,"5/17/12","5/22/12",0,4,"Live Phone","Likely Voters","ABC News/Washington Post","2012",49,45,1461,1461
"1462","TN","Vanderbilt University",NA,"5/20/12","5/23/12",13,0,"Live Phone","Registered Voters","Vanderbilt University","2012",40,47,1462,1462
"1463","TX","Univ. of Texas",511,"5/21/12","5/24/12",10,0,"Live Phone","Likely Voters","Univ. of Texas","2012",35,55,1463,1463
"1464","OK","SoonerPoll",504,"5/21/12","5/24/12",11,0,"Live Phone","Likely Voters","SoonerPoll","2012",27,62,1464,1464
"1465","VT","Castleton Polling Institute",607,"5/22/12","5/25/12",13.2,0,"Live Phone","Registered Voters","Castleton Polling Institute","2012",59.3,27.5,1465,1465
"1466","PA","Public Policy",671,"5/22/12","5/25/12",8,0,"Live Phone","Registered Voters","Public Policy","2012",50,42,1466,1466
"1467","NC","SurveyUSA",524,"5/22/12","5/25/12",11,0,"Live Phone","Likely Voters","SurveyUSA","2012",44,45,1467,1467
"1468","CA","PPIC",894,"5/23/12","5/26/12",11,0,"Live Phone","Likely Voters","PPIC","2012",50,39,1468,1468
"1469","PA","Rasmussen",500,"5/23/12","5/26/12",12,0,"Live Phone","Registered Voters","Rasmussen","2012",47,41,1469,1469
"1470","AZ","Public Policy",500,"5/23/12","5/26/12",7,0,"Live Phone","Registered Voters","Public Policy","2012",43,50,1470,1470
"1471","FL","Quinnipiac",1722,"5/23/12","5/26/12",12,0,"Live Phone","Registered Voters","Quinnipiac","2012",41,47,1471,1471
"1472","MA","Suffolk University",600,"5/24/12","5/27/12",7,0,"Live Phone","Likely Voters","Suffolk University","2012",59,34,1472,1472
"1473","WI","St. Norbert College",406,"5/24/12","5/27/12",8,0,"Live Phone","Likely Voters","St. Norbert College","2012",49,43,1473,1473
"1474","FL","NBC/Marist",1078,"5/24/12","5/27/12",8,0,"Live Phone","Registered Voters","NBC/Marist","2012",48,44,1474,1474
"1475","OH","NBC/Marist",1103,"5/24/12","5/27/12",10,0,"Live Phone","Registered Voters","NBC/Marist","2012",48,42,1475,1475
"1476","VA","NBC/Marist",1076,"5/24/12","5/27/12",8,0,"Live Phone","Registered Voters","NBC/Marist","2012",48,44,1476,1476
"1477","GA","InsiderAdvantage",438,"5/24/12","5/27/12",7.8,0,"Live Phone","Likely Voters","InsiderAdvantage","2012",39.9,52.3,1477,1477
"1478","IN","Rasmussen",600,"5/25/12","5/28/12",10,0,"Live Phone","Likely Voters","Rasmussen","2012",42,48,1478,1478
"1479","NC","Civitas",600,"5/27/12","5/30/12",8,0,"Live Phone","Registered Voters","Civitas","2012",45,47,1479,1479
"1480","CA","USC/Los Angeles Times",1002,"5/29/12","6/1/12",7,0,"Live Phone","Registered Voters","USC/Los Angeles Times","2012",56,37,1480,1480
"1481","MI","Public Policy",500,"5/29/12","6/1/12",8,0,"Live Phone","Registered Voters","Public Policy","2012",53,39,1481,1481
"1482","CO","Project New America",601,"5/29/12","6/1/12",8,0,"Live Phone","Likely Voters","Project New America","2012",48,44,1482,1482
"1483","WI","Marquette Univ. Law School",600,"5/30/12","6/2/12",6,0,"Live Phone","Registered Voters","Marquette Univ. Law School","2012",51,43,1483,1483
"1484","MO","Public Policy",602,"5/30/12","6/2/12",11,0,"Live Phone","Registered Voters","Public Policy","2012",45,44,1484,1484
"1485","CA","SurveyUSA",1575,"5/31/12","6/3/12",7,0,"Live Phone","Registered Voters","SurveyUSA","2012",57,36,1485,1485
"1486","NY","Quinnipiac",1504,"5/31/12","6/3/12",13,0,"Live Phone","Registered Voters","Quinnipiac","2012",56,31,1486,1486
"1487","WA","Strategies 360",500,"5/31/12","6/3/12",9,0,"Live Phone","Likely Voters","Strategies 360","2012",51,40,1487,1487
"1488","NM","FM3 for Patriot Majority",502,"5/31/12","6/3/12",17,0,"Live Phone","Registered Voters","FM3 for Patriot Majority","2012",48,35,1488,1488
"1489","NV","NBC/Marist",1040,"5/31/12","6/3/12",6,0,"Live Phone","Registered Voters","NBC/Marist","2012",48,46,1489,1489
"1490","CO","NBC/Marist",1030,"5/31/12","6/3/12",9,0,"Live Phone","Registered Voters","NBC/Marist","2012",46,45,1490,1490
"1491","IA","NBC/Marist",1106,"5/31/12","6/3/12",12,0,"Live Phone","Registered Voters","NBC/Marist","2012",44,44,1491,1491
"1492","OH","Rasmussen",500,"5/31/12","6/3/12",10,0,"Live Phone","Likely Voters","Rasmussen","2012",44,46,1492,1492
"1493","CA","Field Research",710,"6/1/12","6/4/12",20,0,"Live Phone","Registered Voters","Field Research","2012",48,32,1493,1493
"1494","MA","Western New England Univ.",504,"6/2/12","6/5/12",10,0,"Live Phone","Registered Voters","Western New England Univ.","2012",56,34,1494,1494
"1495","--","Daily Kos/SEIU PPP",1000,"5/31/12","6/5/12",2,4,"Live Phone","Likely Voters","Daily Kos/SEIU PPP","2012",50,42,1495,1495
"1496","MA","Boston Globe/UNH/Cornell",651,"6/2/12","6/5/12",20,0,"Live Phone","Registered Voters","Boston Globe/UNH/Cornell","2012",46,34,1496,1496
"1497","FL","Public Policy",642,"6/4/12","6/7/12",4,0,"Live Phone","Registered Voters","Public Policy","2012",50,46,1497,1497
"1498","VA","Rasmussen",500,"6/4/12","6/7/12",6,0,"Live Phone","Likely Voters","Rasmussen","2012",47,47,1498,1498
"1499","--","YouGov",1000,"6/2/12","6/7/12",2,6,"Live Phone","Likely Voters","YouGov","2012",47,42,1499,1499
"1500","--","Rasmussen ",1500,"6/2/12","6/7/12",2,4,"Live Phone","Likely Voters","Rasmussen ","2012",44,48,1500,1500
"1501","CT","Quinnipiac",1408,"6/6/12","6/9/12",12,0,"Live Phone","Registered Voters","Quinnipiac","2012",50,38,1501,1501
"1502","PA","Franklin & Marshall",412,"6/6/12","6/9/12",16,0,"Live Phone","Registered Voters","Franklin & Marshall","2012",48,36,1502,1502
"1503","MN","Public Policy",973,"6/7/12","6/10/12",7,0,"Live Phone","Registered Voters","Public Policy","2012",54,39,1503,1503
"1504","VA","Purple Strategies",600,"6/7/12","6/10/12",5,0,"Live Phone","Likely Voters","Purple Strategies","2012",49,46,1504,1504
"1505","CO","Purple Strategies",600,"6/7/12","6/10/12",6,0,"Live Phone","Likely Voters","Purple Strategies","2012",48,46,1505,1505
"1506","WI","We Ask America",1270,"6/7/12","6/10/12",9,0,"Live Phone","Likely Voters","We Ask America","2012",48,43,1506,1506
"1507","VA","Quinnipiac",1282,"6/7/12","6/10/12",11,0,"Live Phone","Registered Voters","Quinnipiac","2012",47,42,1507,1507
"1508","CO","Rasmussen",500,"6/7/12","6/10/12",10,0,"Live Phone","Likely Voters","Rasmussen","2012",45,45,1508,1508
"1509","FL","Purple Strategies",600,"6/7/12","6/10/12",6,0,"Live Phone","Likely Voters","Purple Strategies","2012",45,49,1509,1509
"1510","MI","EPIC-MRA",600,"6/7/12","6/10/12",9,0,"Live Phone","Likely Voters","EPIC-MRA","2012",45,46,1510,1510
"1511","OH","Purple Strategies",600,"6/7/12","6/10/12",7,0,"Live Phone","Likely Voters","Purple Strategies","2012",45,48,1511,1511
"1512","--","Fox News",907,"6/5/12","6/10/12",4,8,"Live Phone","Likely Voters","Fox News","2012",43,43,1512,1512
"1513","MO","Rasmussen",500,"6/8/12","6/11/12",9,0,"Live Phone","Likely Voters","Rasmussen","2012",42,49,1513,1513
"1514","--","Daily Kos/SEIU PPP",1000,"6/7/12","6/12/12",2,4,"Live Phone","Likely Voters","Daily Kos/SEIU PPP","2012",50,42,1514,1514
"1515","--","Pew",1563,"6/7/12","6/12/12",0,2,"Live Phone","Likely Voters","Pew","2012",50,46,1515,1515
"1516","--","Angus Reid Public Opinion",1794,"6/7/12","6/12/12",2,4,"Live Phone","Likely Voters","Angus Reid Public Opinion","2012",46,47,1516,1516
"1517","--","Reuters/Ipsos",848,"6/7/12","6/12/12",2,6,"Live Phone","Likely Voters","Reuters/Ipsos","2012",45,44,1517,1517
"1518","ND","Mason-Dixon",625,"6/10/12","6/13/12",9,0,"Live Phone","Likely Voters","Mason-Dixon","2012",39,52,1518,1518
"1519","NY","Siena College",807,"6/12/12","6/15/12",6,0,"Live Phone","Registered Voters","Siena College","2012",59,35,1519,1519
"1520","MI","Foster, Baydoun",1783,"6/12/12","6/15/12",7.62,0,"Live Phone","Registered Voters","Foster, Baydoun","2012",46.9,45.48,1520,1520
"1521","IA","Rasmussen",500,"6/12/12","6/15/12",7,0,"Live Phone","Likely Voters","Rasmussen","2012",46,47,1521,1521
"1522","NC","Public Policy",810,"6/12/12","6/15/12",6,0,"Live Phone","Registered Voters","Public Policy","2012",46,48,1522,1522
"1523","PA","Quinnipiac",997,"6/12/12","6/15/12",14,0,"Live Phone","Registered Voters","Quinnipiac","2012",46,40,1523,1523
"1524","NV","Public Policy",500,"6/13/12","6/16/12",10,0,"Live Phone","Registered Voters","Public Policy","2012",48,42,1524,1524
"1525","WI","Rasmussen",500,"6/13/12","6/16/12",9,0,"Live Phone","Likely Voters","Rasmussen","2012",44,47,1525,1525
"1526","NJ","Rutgers-Eagleton",1065,"6/14/12","6/17/12",11,0,"Live Phone","Registered Voters","Rutgers-Eagleton","2012",56,33,1526,1526
"1527","--","Rasmussen ",1500,"6/12/12","6/17/12",2,6,"Live Phone","Likely Voters","Rasmussen ","2012",45,46,1527,1527
"1528","MI","Rasmussen",500,"6/15/12","6/18/12",8,0,"Live Phone","Likely Voters","Rasmussen","2012",50,42,1528,1528
"1529","--","Associated Press",878,"6/14/12","6/19/12",2,6,"Live Phone","Likely Voters","Associated Press","2012",47,44,1529,1529
"1530","--","Selzer/Bloomberg",734,"6/15/12","6/20/12",2,4,"Live Phone","Likely Voters","Selzer/Bloomberg","2012",53,40,1530,1530
"1531","ME","MassInc",506,"6/18/12","6/21/12",18,0,"Live Phone","Likely Voters","MassInc","2012",48,34,1531,1531
"1532","CO","Public Policy",799,"6/19/12","6/22/12",9,0,"Live Phone","Registered Voters","Public Policy","2012",49,42,1532,1532
"1533","WA","Elway Research",408,"6/19/12","6/22/12",10,0,"Live Phone","Registered Voters","Elway Research","2012",49,41,1533,1533
"1534","AZ","Project New America",791,"6/19/12","6/22/12",5,0,"Live Phone","Likely Voters","Project New America","2012",46,49,1534,1534
"1535","WA","Public Policy",1073,"6/20/12","6/23/12",5,0,"Live Phone","Registered Voters","Public Policy","2012",54,41,1535,1535
"1536","WI","Marquette Univ. Law School",594,"6/20/12","6/23/12",8,0,"Live Phone","Likely Voters","Marquette Univ. Law School","2012",49,43,1536,1536
"1537","IA","We Ask America",1086,"6/20/12","6/23/12",11,0,"Live Phone","Likely Voters","We Ask America","2012",45,44,1537,1537
"1538","MI","We Ask America",1010,"6/20/12","6/23/12",12,0,"Live Phone","Likely Voters","We Ask America","2012",43,45,1538,1538
"1539","MT","Rasmussen",500,"6/20/12","6/23/12",7,0,"Live Phone","Likely Voters","Rasmussen","2012",42,51,1539,1539
"1540","NH","Rasmussen",500,"6/21/12","6/24/12",9,0,"Live Phone","Likely Voters","Rasmussen","2012",48,43,1540,1540
"1541","MI","Mitchell Research",750,"6/21/12","6/24/12",7,0,"Live Phone","Likely Voters","Mitchell Research","2012",47,46,1541,1541
"1542","FL","Quinnipiac",1697,"6/21/12","6/24/12",12,0,"Live Phone","Registered Voters","Quinnipiac","2012",46,42,1542,1542
"1543","--","NBC/WSJ",819,"6/20/12","6/25/12",2,6,"Live Phone","Likely Voters","NBC/WSJ","2012",47,44,1543,1543
"1544","--","Gallup ",3050,"6/20/12","6/25/12",2,6,"Live Phone","Likely Voters","Gallup ","2012",46,44,1544,1544
"1545","UT","Dan Jones & Assoc.",1222,"6/23/12","6/26/12",6,0,"Live Phone","Registered Voters","Dan Jones & Assoc.","2012",26,68,1545,1545
"1546","PA","Susquehanna Polling & Research",NA,"6/24/12","6/27/12",9,0,"Live Phone","Registered Voters","Susquehanna Polling & Research","2012",48,43,1546,1546
"1547","NH","American Research Group",535,"6/25/12","6/28/12",6,0,"Live Phone","Registered Voters","American Research Group","2012",51,43,1547,1547
"1548","OR","Public Policy",686,"6/26/12","6/29/12",8,0,"Live Phone","Registered Voters","Public Policy","2012",50,42,1548,1548
"1549","OH","Public Policy",673,"6/26/12","6/29/12",9,0,"Live Phone","Registered Voters","Public Policy","2012",47,44,1549,1549
"1550","CO","We Ask America",1083,"6/26/12","6/29/12",10.4,0,"Live Phone","Likely Voters","We Ask America","2012",46.6,43,1550,1550
"1551","--","Fox News",912,"6/24/12","6/29/12",4,10,"Live Phone","Likely Voters","Fox News","2012",45,40,1551,1551
"1552","--","Rasmussen ",1500,"6/24/12","6/29/12",2,6,"Live Phone","Likely Voters","Rasmussen ","2012",45,45,1552,1552
"1553","NC","Rasmussen",500,"6/26/12","6/29/12",9,0,"Live Phone","Likely Voters","Rasmussen","2012",44,47,1553,1553
"1554","VA","We Ask America",1106,"6/26/12","6/29/12",8.7,0,"Live Phone","Likely Voters","We Ask America","2012",43.3,48,1554,1554
