"","poll_id","question_id","race_id","year","race","location","type_simple","type_detail","pollster","pollster_rating_id","polldate","samplesize","cand1_name","cand1_party","cand1_pct","cand2_name","cand2_party","cand2_pct","cand3_pct","margin_poll","electiondate","cand1_actual","cand2_actual","margin_actual","error","bias","rightcall","comment","partisan","pollsterFull","daysuntil","demBias","repBias","transparency","delMode","LV","undecided"
"6478",30599,36797,688,"2012","2012_Pres-G_OH","OH","Pres-G","Pres-G","Ipsos",154,2012-11-01,1162.5,"Barack Obama","DEM",47.5,"Mitt Romney","REP",42.5,NA,5,2012-11-06,50.58,47.6,2.97,2.03,2.03,1,"average of multiple versions or turnout models listed in poll","","Ipsos",5,-3.08,-5.1,"yes","Online",TRUE,10
"6481",30597,36793,698,"2012","2012_Pres-G_VA","VA","Pres-G","Pres-G","Ipsos",154,2012-11-01,1131,"Barack Obama","DEM",48.5,"Mitt Romney","REP",42.5,NA,6,2012-11-06,51.16,47.28,3.87,2.13,2.13,1,"average of multiple versions or turnout models listed in poll","","Ipsos",5,-2.66,-4.78,"yes","Online",TRUE,9
"8488",48482,75978,611,"2016","2016_Pres-G_FL","FL","Pres-G","Pres-G","YouGov",391,2016-11-03,1188,"Hillary Rodham Clinton","DEM",45,"Donald Trump","REP",45,NA,0,2016-11-08,47.41,48.6,-1.19,1.19,1.19,0.5,"among registered voters","","YouGov",5,-2.41,-3.6,"no","Online",FALSE,10
"8497",48481,75977,637,"2016","2016_Pres-G_OH","OH","Pres-G","Pres-G","YouGov",391,2016-11-03,1189,"Hillary Rodham Clinton","DEM",45,"Donald Trump","REP",46,NA,-1,2016-11-08,43.24,51.31,-8.07,7.07,7.07,1,"","","YouGov",5,1.76,-5.31,"no","Online",TRUE,9
"8490",48341,75728,612,"2016","2016_Pres-G_GA","GA","Pres-G","Pres-G","OSvv-IA",243,2016-11-03,538,"Hillary Rodham Clinton","DEM",44.7,"Donald Trump","REP",48.5,NA,-3.8,2016-11-08,45.35,50.44,-5.1,1.3,1.3,1,"","","Opinion Savvy-InsiderAdvantage",5,-0.649999999999999,-1.94,"yes","IVR/Online",TRUE,6.8
"4597",16527,21424,753,"2008","2008_Pres-G_WV","WV","Pres-G","Pres-G","PblcPlP",263,2008-10-30,2128,"Barack Obama","DEM",42,"John McCain","REP",55,NA,-13,2008-11-04,42.49,55.58,-13.09,0.09,0.09,1,"","","Public Policy Polling",5,-0.490000000000002,-0.579999999999998,"no","IVR/Text",TRUE,3
"6459",30577,36759,658,"2012","2012_Pres-G_CO","CO","Pres-G","Pres-G","PblcPlP",263,2012-11-01,825,"Barack Obama","DEM",50,"Mitt Romney","REP",46,NA,4,2012-11-06,51.45,46.09,5.36,1.36,-1.36,1,"for League of Conservation Voters","D","Public Policy Polling",5,-1.45,-0.0900000000000034,"no","IVR/Text",TRUE,4
"6473",30596,36913,676,"2012","2012_Pres-G_MN","MN","Pres-G","Pres-G","PblcPlP",263,2012-11-01,772,"Barack Obama","DEM",53,"Mitt Romney","REP",44,NA,9,2012-11-06,52.65,44.96,7.69,1.31,1.31,1,"for League of Conservation Voters","D","Public Policy Polling",5,0.350000000000001,-0.960000000000001,"no","IVR/Text",TRUE,3
"6470",30578,36760,675,"2012","2012_Pres-G_MI","MI","Pres-G","Pres-G","GrvInsg",129,2012-11-01,500,"Barack Obama","DEM",48,"Mitt Romney","REP",41,NA,7,2012-11-06,54.04,44.58,9.47,2.47,-2.47,1,"for The Majority Institute","D","Grove Insight",5,-6.04,-3.58,"no","Live",TRUE,11
"4576",16523,21420,713,"2008","2008_Pres-G_FL","FL","Pres-G","Pres-G","Datamar",75,2008-10-30,995,"Barack Obama","DEM",47,"John McCain","REP",47,NA,0,2008-11-04,50.91,48.1,2.81,2.81,-2.81,0.5,"among registered voters","","Datamar",5,-3.91,-1.1,"no","IVR",FALSE,6
"6461",30686,36959,662,"2012","2012_Pres-G_FL","FL","Pres-G","Pres-G","MllmnGr",205,2012-11-01,600,"Barack Obama","DEM",47,"Mitt Romney","REP",45,NA,2,2012-11-06,49.9,49.03,0.88,1.12,1.12,1,"","","Mellman Group",5,-2.9,-4.03,"no","Live/Text",TRUE,8
"6464",30617,36818,665,"2012","2012_Pres-G_IA","IA","Pres-G","Pres-G","MllmnGr",205,2012-11-01,600,"Barack Obama","DEM",46,"Mitt Romney","REP",44,NA,2,2012-11-06,51.99,46.18,5.81,3.81,-3.81,1,"","","Mellman Group",5,-5.99,-2.18,"no","Live/Text",TRUE,10
"6482",30757,37097,698,"2012","2012_Pres-G_VA","VA","Pres-G","Pres-G","MllmnGr",205,2012-11-01,800,"Barack Obama","DEM",48,"Mitt Romney","REP",45,NA,3,2012-11-06,51.16,47.28,3.87,0.87,-0.87,1,"","","Mellman Group",5,-3.16,-2.28,"no","Live/Text",TRUE,7
"6454",30573,36753,37,"2012","2012_Pres-G_US","US","Pres-G","Pres-G","GglSrvy",122,2012-11-01,2318,"Barack Obama","DEM",44.7,"Mitt Romney","REP",42.7,NA,2,2012-11-06,51.01,47.15,3.86,1.86,-1.86,1,"","","Google Surveys",5,-6.31,-4.45,"yes","Online",TRUE,12.6
"6463",30582,36764,665,"2012","2012_Pres-G_IA","IA","Pres-G","Pres-G","GrvsMrk",124,2012-11-01,594,"Barack Obama","DEM",49,"Mitt Romney","REP",45,NA,4,2012-11-06,51.99,46.18,5.81,1.81,-1.81,1,"","","Gravis Marketing",5,-2.99,-1.18,"no","IVR/Online/Live",TRUE,6
"6475",30610,36810,683,"2012","2012_Pres-G_NH","NH","Pres-G","Pres-G","GrvsMrk",124,2012-11-01,497,"Barack Obama","DEM",50,"Mitt Romney","REP",49,NA,1,2012-11-06,51.98,46.4,5.58,4.58,-4.58,1,"","","Gravis Marketing",5,-1.98,2.6,"no","IVR/Online/Live",TRUE,1
"8492",48774,76357,624,"2016","2016_Pres-G_MI","MI","Pres-G","Pres-G","GrvsMrk",124,2016-11-03,1079,"Hillary Rodham Clinton","DEM",46,"Donald Trump","REP",41,NA,5,2016-11-08,47.03,47.25,-0.22,5.22,5.22,0,"among registered voters","","Gravis Marketing",5,-1.03,-6.25,"no","IVR/Online/Live",FALSE,13
"8495",48773,76356,629,"2016","2016_Pres-G_NC","NC","Pres-G","Pres-G","GrvsMrk",124,2016-11-03,1250,"Hillary Rodham Clinton","DEM",46,"Donald Trump","REP",45,NA,1,2016-11-08,46.17,49.83,-3.66,4.66,4.66,0,"among registered voters","","Gravis Marketing",5,-0.170000000000002,-4.83,"no","IVR/Online/Live",FALSE,9
"8500",48772,76355,647,"2016","2016_Pres-G_VA","VA","Pres-G","Pres-G","GrvsMrk",124,2016-11-03,1362,"Hillary Rodham Clinton","DEM",47,"Donald Trump","REP",42,NA,5,2016-11-08,49.75,44.43,5.32,0.32,-0.32,1,"among registered voters","","Gravis Marketing",5,-2.75,-2.43,"no","IVR/Online/Live",FALSE,11
"8482",48626,76181,94,"2016","2016_Pres-G_US","US","Pres-G","Pres-G","AngsRdG",13,2016-11-03,1151,"Hillary Rodham Clinton","DEM",48,"Donald Trump","REP",44,NA,4,2016-11-08,48.02,45.93,2.09,1.91,1.91,1,"","","Angus Reid Global",5,-0.0200000000000031,-1.93,"no","Online",TRUE,8
"6457",63706,117235,37,"2012","2012_Pres-G_US","US","Pres-G","Pres-G","TCJRsrc",327,2012-11-01,1500,"Barack Obama","DEM",47.4,"Mitt Romney","REP",50.4,NA,-3,2012-11-06,51.01,47.15,3.86,6.86,-6.86,0,"","","TCJ Research",5,-3.61,3.25,"no","IVR",TRUE,2.2
"6462",63663,117170,662,"2012","2012_Pres-G_FL","FL","Pres-G","Pres-G","TCJRsrc",327,2012-11-01,1000,"Barack Obama","DEM",46.3,"Mitt Romney","REP",52.1,NA,-5.8000002,2012-11-06,49.9,49.03,0.88,6.68,-6.68,0,"","","TCJ Research",5,-3.6,3.07,"no","IVR",TRUE,1.6
"6466",63665,117173,665,"2012","2012_Pres-G_IA","IA","Pres-G","Pres-G","TCJRsrc",327,2012-11-01,1000,"Barack Obama","DEM",47.6,"Mitt Romney","REP",50.3,NA,-2.7,2012-11-06,51.99,46.18,5.81,8.51,-8.51,0,"","","TCJ Research",5,-4.39,4.12,"no","IVR",TRUE,2.1
"6472",63668,117184,675,"2012","2012_Pres-G_MI","MI","Pres-G","Pres-G","TCJRsrc",327,2012-11-01,1000,"Barack Obama","DEM",50.4,"Mitt Romney","REP",47.7,NA,2.7,2012-11-06,54.04,44.58,9.47,6.77,-6.77,1,"","","TCJ Research",5,-3.64,3.12,"no","IVR",TRUE,1.9
"6477",63675,117191,685,"2012","2012_Pres-G_NM","NM","Pres-G","Pres-G","TCJRsrc",327,2012-11-01,1000,"Barack Obama","DEM",51.6,"Mitt Romney","REP",46.6,NA,5,2012-11-06,52.99,42.84,10.15,5.15,-5.15,1,"","","TCJ Research",5,-1.39,3.76,"no","IVR",TRUE,1.8
"6469",30587,36777,672,"2012","2012_Pres-G_MA","MA","Pres-G","Pres-G","KmbllPC",163,2012-11-01,761,"Barack Obama","DEM",54,"Mitt Romney","REP",41,NA,13,2012-11-06,60.67,37.52,23.15,10.15,-10.15,1,"","","Kimball Political Consulting",5,-6.67,3.48,"no","Live",TRUE,5
"8483",48615,76159,94,"2016","2016_Pres-G_US","US","Pres-G","Pres-G","CVOTER",40,2016-11-03,1625,"Hillary Rodham Clinton","DEM",48.91,"Donald Trump","REP",46.13,NA,2.78,2016-11-08,48.02,45.93,2.09,0.69,0.69,1,"","","CVOTER",5,0.889999999999993,0.200000000000003,"no","Online",TRUE,4.96
"8487",48356,75793,607,"2016","2016_Pres-G_CO","CO","Pres-G","Pres-G","KtngRsr",161,2016-11-03,605,"Hillary Rodham Clinton","DEM",43,"Donald Trump","REP",38,NA,5,2016-11-08,48.16,43.25,4.91,0.09,0.09,1,"","","Keating Research",5,-5.16,-5.25,"no","Live",TRUE,19
"6455",30576,36758,37,"2012","2012_Pres-G_US","US","Pres-G","Pres-G","PrplStr",265,2012-11-01,1000,"Barack Obama","DEM",47,"Mitt Romney","REP",46,NA,1,2012-11-06,51.01,47.15,3.86,2.86,-2.86,1,"","","Purple Strategies",5,-4.01,-1.15,"no","Online",TRUE,7
"6474",30581,36772,682,"2012","2012_Pres-G_NE","NE","Pres-G","Pres-G","WAskAmr",376,2012-11-01,1178,"Barack Obama","DEM",41,"Mitt Romney","REP",54,NA,-13,2012-11-06,38.03,59.8,-21.78,8.78,8.78,1,"","","We Ask America",5,2.97,-5.8,"no","IVR/Online/Live/Text",TRUE,5
"8484",48616,76160,94,"2016","2016_Pres-G_US","US","Pres-G","Pres-G","Lucid",175,2016-11-03,2561,"Hillary Rodham Clinton","DEM",45,"Donald Trump","REP",39,NA,6,2016-11-08,48.02,45.93,2.09,3.91,3.91,1,"","","Lucid",5,-3.02,-6.93,"no","Online",TRUE,16
"8486",48515,76043,94,"2016","2016_Pres-G_US","US","Pres-G","Pres-G","SrvyMnk",324,2016-11-03,70194,"Hillary Rodham Clinton","DEM",49,"Donald Trump","REP",42.5,NA,6.5,2016-11-08,48.02,45.93,2.09,4.41,4.41,1,"average of multiple versions or turnout models listed in poll","","SurveyMonkey",5,0.979999999999997,-3.43,"no","Online",TRUE,8.5
"8489",48322,75693,612,"2016","2016_Pres-G_GA","GA","Pres-G","Pres-G","LndmrkC",166,2016-11-03,1000,"Hillary Rodham Clinton","DEM",46,"Donald Trump","REP",48,NA,-2,2016-11-08,45.35,50.44,-5.1,3.1,3.1,1,"","","Landmark Communications",5,0.649999999999999,-2.44,"no","IVR/Live",TRUE,6
"8496",48473,75963,635,"2016","2016_Pres-G_NV","NV","Pres-G","Pres-G","TrflgrG",338,2016-11-03,1100,"Hillary Rodham Clinton","DEM",45.01,"Donald Trump","REP",49.61,NA,-4.5999999,2016-11-08,47.92,45.5,2.42,7.02,-7.02,0,"","","Trafalgar Group",5,-2.91,4.11,"no","IVR",TRUE,5.38
"8494",48345,75735,624,"2016","2016_Pres-G_MI","MI","Pres-G","Pres-G","StrtgcN",318,2016-11-03,573,"Hillary Rodham Clinton","DEM",44,"Donald Trump","REP",44,NA,0,2016-11-08,47.03,47.25,-0.22,0.22,0.22,0.5,"","","Strategic National",5,-3.03,-3.25,"no","IVR",TRUE,12
"8498",48620,76169,640,"2016","2016_Pres-G_PA","PA","Pres-G","Pres-G","ClrtyCL",52,2016-11-03,1033,"Hillary Rodham Clinton","DEM",47,"Donald Trump","REP",43,NA,4,2016-11-08,47.46,48.17,-0.72,4.72,4.72,0,"","","Clarity Campaign Labs",5,-0.460000000000001,-5.17,"no","IVR/Live",TRUE,10
"8499",48343,75732,640,"2016","2016_Pres-G_PA","PA","Pres-G","Pres-G","HrprPll",132,2016-11-03,504,"Hillary Rodham Clinton","DEM",46,"Donald Trump","REP",46,NA,0,2016-11-08,47.46,48.17,-0.72,0.72,0.72,0.5,"","","Harper Polling",5,-1.46,-2.17,"no","IVR/Live",TRUE,8
"1093",6135,7588,844,"2000","2000_Pres-G_PA","PA","Pres-G","Pres-G","ZIn-JZA",395,2000-11-04,600,"Al Gore","DEM",50,"George W. Bush","REP",42,NA,8,2000-11-07,50.6,46.43,4.17,3.83,3.83,1,"","","Zogby Interactive-JZ Analytics",3,-0.600000000000001,-4.43,"no","Online",TRUE,8
"2356",15745,20585,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","ZIn-JZA",395,2004-10-30,1200,"John Kerry","DEM",47,"George W. Bush","REP",48,NA,-1,2004-11-02,48.26,50.73,-2.46,1.46,1.46,1,"","","Zogby Interactive-JZ Analytics",3,-1.26,-2.73,"no","Online",TRUE,5
"2363",4339,5661,764,"2004","2004_Pres-G_FL","FL","Pres-G","Pres-G","ZIn-JZA",395,2004-10-30,599,"John Kerry","DEM",48,"George W. Bush","REP",47,NA,1,2004-11-02,47.09,52.1,-5.01,6.01,6.01,0,"","","Zogby Interactive-JZ Analytics",3,0.909999999999997,-5.1,"no","Online",TRUE,5
"2373",4361,5683,787,"2004","2004_Pres-G_NM","NM","Pres-G","Pres-G","ZIn-JZA",395,2004-10-30,600,"John Kerry","DEM",49,"George W. Bush","REP",49,NA,0,2004-11-02,49.05,49.84,-0.79,0.79,0.79,0.5,"","","Zogby Interactive-JZ Analytics",3,-0.0499999999999972,-0.840000000000003,"no","Online",TRUE,2
"4649",63817,117507,719,"2008","2008_Pres-G_IN","IN","Pres-G","Pres-G","ZIn-JZA",395,2008-11-01,603,"Barack Obama","DEM",43.9,"John McCain","REP",49.1,NA,-5.1999998,2008-11-04,49.84,48.81,1.03,6.23,-6.23,0,"","","Zogby Interactive-JZ Analytics",3,-5.94,0.289999999999999,"no","Online",TRUE,7
"4653",63825,117520,728,"2008","2008_Pres-G_MO","MO","Pres-G","Pres-G","ZIn-JZA",395,2008-11-01,602,"Barack Obama","DEM",47.4,"John McCain","REP",45.7,NA,1.7,2008-11-04,49.23,49.36,-0.13,1.83,1.83,0,"","","Zogby Interactive-JZ Analytics",3,-1.83,-3.66,"no","Online",TRUE,6.9
"4657",63828,117531,731,"2008","2008_Pres-G_NC","NC","Pres-G","Pres-G","ZIn-JZA",395,2008-11-01,600,"Barack Obama","DEM",47.7,"John McCain","REP",49.3,NA,-1.6,2008-11-04,49.7,49.38,0.33,1.93,-1.93,0,"","","Zogby Interactive-JZ Analytics",3,-2,-0.0800000000000054,"no","Online",TRUE,3
"4660",63820,117511,737,"2008","2008_Pres-G_NV","NV","Pres-G","Pres-G","ZIn-JZA",395,2008-11-01,601,"Barack Obama","DEM",50.7,"John McCain","REP",42.9,NA,7.8000002,2008-11-04,55.15,42.65,12.49,4.69,-4.69,1,"","","Zogby Interactive-JZ Analytics",3,-4.45,0.25,"no","Online",TRUE,6.4
"4664",63822,117516,739,"2008","2008_Pres-G_OH","OH","Pres-G","Pres-G","ZIn-JZA",395,2008-11-01,605,"Barack Obama","DEM",50.2,"John McCain","REP",43.9,NA,6.3000002,2008-11-04,51.38,46.8,4.58,1.72,1.72,1,"","","Zogby Interactive-JZ Analytics",3,-1.18,-2.9,"no","Online",TRUE,5.9
"4668",63814,117502,742,"2008","2008_Pres-G_PA","PA","Pres-G","Pres-G","ZIn-JZA",395,2008-11-01,602,"Barack Obama","DEM",53.7,"John McCain","REP",40,NA,13.7,2008-11-04,54.47,44.15,10.31,3.39,3.39,1,"","","Zogby Interactive-JZ Analytics",3,-0.769999999999996,-4.15,"no","Online",TRUE,6.3
"4670",63823,117518,749,"2008","2008_Pres-G_VA","VA","Pres-G","Pres-G","ZIn-JZA",395,2008-11-01,604,"Barack Obama","DEM",50.7,"John McCain","REP",44.6,NA,6.0999999,2008-11-04,52.63,46.33,6.3,0.2,-0.2,1,"","","Zogby Interactive-JZ Analytics",3,-1.93,-1.73,"no","Online",TRUE,4.7
"6623",30808,37170,698,"2012","2012_Pres-G_VA","VA","Pres-G","Pres-G","ZIn-JZA",395,2012-11-03,814,"Barack Obama","DEM",52,"Mitt Romney","REP",44,NA,8,2012-11-06,51.16,47.28,3.87,4.13,4.13,1,"","","Zogby Interactive-JZ Analytics",3,0.840000000000003,-3.28,"no","Online",TRUE,4
"1084",6140,7593,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","NBCNWSJ",221,2000-11-04,1026,"Al Gore","DEM",44,"George W. Bush","REP",47,NA,-3,2000-11-07,48.38,47.87,0.52,3.52,-3.52,0,"","","NBC News-The Wall Street Journal",3,-4.38,-0.869999999999997,"yes","Live",TRUE,9
"2354",15294,20134,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","NBCNWSJ",221,2004-10-30,1014,"John Kerry","DEM",47,"George W. Bush","REP",48,NA,-1,2004-11-02,48.26,50.73,-2.46,1.46,1.46,1,"","","NBC News-The Wall Street Journal",3,-1.26,-2.73,"yes","Live",TRUE,5
"1088",63645,117139,828,"2000","2000_Pres-G_MI","MI","Pres-G","Pres-G","RRp-POR",277,2000-11-04,787,"Al Gore","DEM",44,"George W. Bush","REP",45,NA,-1,2000-11-07,51.28,46.14,5.13,6.13,-6.13,0,"","","Rasmussen Reports-Pulse Opinion Research",3,-7.28,-1.14,"no","IVR/Online",TRUE,11
"1092",63652,117148,840,"2000","2000_Pres-G_NY","NY","Pres-G","Pres-G","RRp-POR",277,2000-11-04,680,"Al Gore","DEM",50,"George W. Bush","REP",36,NA,14,2000-11-07,60.22,35.22,25,11,-11,1,"","","Rasmussen Reports-Pulse Opinion Research",3,-10.22,0.780000000000001,"no","IVR/Online",TRUE,14
"2355",27901,117051,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","RRp-POR",277,2004-10-30,3000,"John Kerry","DEM",48.5,"George W. Bush","REP",50.2,NA,-1.7,2004-11-02,48.26,50.73,-2.46,0.76,0.76,1,"","","Rasmussen Reports-Pulse Opinion Research",3,0.240000000000002,-0.529999999999994,"no","IVR/Online",TRUE,1.3
"4641",15420,20260,38,"2008","2008_Pres-G_US","US","Pres-G","Pres-G","RRp-POR",277,2008-11-01,3000,"Barack Obama","DEM",52,"John McCain","REP",46,NA,6,2008-11-04,52.86,45.6,7.26,1.26,-1.26,1,"","","Rasmussen Reports-Pulse Opinion Research",3,-0.859999999999999,0.399999999999999,"no","IVR/Online",TRUE,2
"4647",16442,21339,718,"2008","2008_Pres-G_IL","IL","Pres-G","Pres-G","RRp-POR",277,2008-11-01,500,"Barack Obama","DEM",60,"John McCain","REP",38,NA,22,2008-11-04,61.83,36.73,25.1,3.1,-3.1,1,"","","Rasmussen Reports-Pulse Opinion Research",3,-1.83,1.27,"no","IVR/Online",TRUE,2
"4650",16443,21340,725,"2008","2008_Pres-G_ME","ME","Pres-G","Pres-G","RRp-POR",277,2008-11-01,500,"Barack Obama","DEM",56,"John McCain","REP",43,NA,13,2008-11-04,57.71,40.38,17.32,4.32,-4.32,1,"","","Rasmussen Reports-Pulse Opinion Research",3,-1.71,2.62,"no","IVR/Online",TRUE,1
"4666",16444,21341,742,"2008","2008_Pres-G_PA","PA","Pres-G","Pres-G","RRp-POR",277,2008-11-01,500,"Barack Obama","DEM",52,"John McCain","REP",46,NA,6,2008-11-04,54.47,44.15,10.31,4.31,-4.31,1,"","","Rasmussen Reports-Pulse Opinion Research",3,-2.47,1.85,"no","IVR/Online",TRUE,2
"1081",63530,121979,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","ABCN-WP",3,2000-11-04,1801,"Al Gore","DEM",46,"George W. Bush","REP",49,NA,-3,2000-11-07,48.38,47.87,0.52,3.52,-3.52,0,"average of multiple versions or turnout models listed in poll","","ABC News-The Washington Post",3,-2.38,1.13,"yes","Live",TRUE,5
"2350",15638,20478,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","ABCN-WP",3,2004-10-30,2904,"John Kerry","DEM",48,"George W. Bush","REP",49,NA,-1,2004-11-02,48.26,50.73,-2.46,1.46,1.46,1,"average of multiple versions or turnout models listed in poll","","ABC News-The Washington Post",3,-0.259999999999998,-1.73,"yes","Live",TRUE,3
"4634",14858,19698,38,"2008","2008_Pres-G_US","US","Pres-G","Pres-G","ABCN-WP",3,2008-11-01,2470,"Barack Obama","DEM",53,"John McCain","REP",44,NA,9,2008-11-04,52.86,45.6,7.26,1.74,1.74,1,"","","ABC News-The Washington Post",3,0.140000000000001,-1.6,"yes","Live",TRUE,3
"6596",30768,37110,37,"2012","2012_Pres-G_US","US","Pres-G","Pres-G","ABCN-WP",3,2012-11-03,2345,"Barack Obama","DEM",50,"Mitt Romney","REP",47,NA,3,2012-11-06,51.01,47.15,3.86,0.86,-0.86,1,"","","ABC News-The Washington Post",3,-1.01,-0.149999999999999,"yes","Live",TRUE,3
"8656",48630,76193,94,"2016","2016_Pres-G_US","US","Pres-G","Pres-G","ABCN-WP",3,2016-11-05,2220,"Hillary Rodham Clinton","DEM",48,"Donald Trump","REP",44.5,NA,3.5,2016-11-08,48.02,45.93,2.09,1.41,1.41,1,"average of multiple versions or turnout models listed in poll","","ABC News-The Washington Post",3,-0.0200000000000031,-1.43,"yes","Live",TRUE,7.5
"2351",15014,19854,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","GQRR(GQ",126,2004-10-30,1018,"John Kerry","DEM",48,"George W. Bush","REP",47,NA,1,2004-11-02,48.26,50.73,-2.46,3.46,3.46,0,"","","GQR Research (GQRR)",3,-0.259999999999998,-3.73,"yes","Online/Live",TRUE,5
"4637",15164,20004,38,"2008","2008_Pres-G_US","US","Pres-G","Pres-G","GQRR(GQ",126,2008-11-01,1000,"Barack Obama","DEM",51,"John McCain","REP",44,NA,7,2008-11-04,52.86,45.6,7.26,0.26,-0.26,1,"","","GQR Research (GQRR)",3,-1.86,-1.6,"yes","Online/Live",TRUE,5
"6599",30796,37152,37,"2012","2012_Pres-G_US","US","Pres-G","Pres-G","GQRR(GQ",126,2012-11-03,1080,"Barack Obama","DEM",49,"Mitt Romney","REP",45,NA,4,2012-11-06,51.01,47.15,3.86,0.14,0.14,1,"","","GQR Research (GQRR)",3,-2.01,-2.15,"yes","Online/Live",TRUE,6
"2352",14993,19819,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","Gallup",112,2004-10-30,1573,"John Kerry","DEM",47,"George W. Bush","REP",49,NA,-2,2004-11-02,48.26,50.73,-2.46,0.46,0.46,1,"","","Gallup",3,-1.26,-1.73,"yes","Live",TRUE,4
"2359",4335,5657,764,"2004","2004_Pres-G_FL","FL","Pres-G","Pres-G","Gallup",112,2004-10-30,1521,"John Kerry","DEM",48,"George W. Bush","REP",47,NA,1,2004-11-02,47.09,52.1,-5.01,6.01,6.01,0,"","","Gallup",3,0.909999999999997,-5.1,"yes","Live",TRUE,5
"2374",4337,5666,790,"2004","2004_Pres-G_OH","OH","Pres-G","Pres-G","Gallup",112,2004-10-30,1111,"John Kerry","DEM",50,"George W. Bush","REP",46,NA,4,2004-11-02,48.71,50.81,-2.11,6.11,6.11,0,"","","Gallup",3,1.29,-4.81,"yes","Live",TRUE,4
"2377",4345,5667,793,"2004","2004_Pres-G_PA","PA","Pres-G","Pres-G","Gallup",112,2004-10-30,1082,"John Kerry","DEM",46,"George W. Bush","REP",50,NA,-4,2004-11-02,50.92,48.42,2.5,6.5,-6.5,0,"","","Gallup",3,-4.92,1.58,"yes","Live",TRUE,4
"4638",15145,19985,38,"2008","2008_Pres-G_US","US","Pres-G","Pres-G","Gallup",112,2008-11-01,2472,"Barack Obama","DEM",55,"John McCain","REP",44,NA,11,2008-11-04,52.86,45.6,7.26,3.74,3.74,1,"","","Gallup",3,2.14,-1.6,"yes","Live",TRUE,1
"6600",30758,37099,37,"2012","2012_Pres-G_US","US","Pres-G","Pres-G","Gallup",112,2012-11-03,2800.5,"Barack Obama","DEM",48.5,"Mitt Romney","REP",47.5,NA,1,2012-11-06,51.01,47.15,3.86,2.86,-2.86,1,"average of multiple versions or turnout models listed in poll","","Gallup",3,-2.51,0.350000000000001,"yes","Live",TRUE,4
"1082",42760,121986,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","CBSNNYT",36,2000-11-04,936.5,"Al Gore","DEM",43,"George W. Bush","REP",47.5,NA,-4.5,2000-11-07,48.38,47.87,0.52,5.02,-5.02,0,"sample size unavailable; estimated at 600 as a default; average of multiple versions or turnout models listed in poll","","CBS News-The New York Times",3,-5.38,-0.369999999999997,"yes","Live",TRUE,9.5
"4635",66249,123287,38,"2008","2008_Pres-G_US","US","Pres-G","Pres-G","CBSNNYT",36,2008-11-01,747,"Barack Obama","DEM",54,"John McCain","REP",41,NA,13,2008-11-04,52.86,45.6,7.26,5.74,5.74,1,"","","CBS News-The New York Times",3,1.14,-4.6,"yes","Live",TRUE,5
"1085",28064,123296,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","PwRsrcC",253,2000-11-04,1301,"Al Gore","DEM",45,"George W. Bush","REP",47,NA,-2,2000-11-07,48.38,47.87,0.52,2.52,-2.52,0,"average of multiple versions or turnout models listed in poll","","Pew Research Center",3,-3.38,-0.869999999999997,"yes","Online",TRUE,8
"1083",63576,117015,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","HrrsI&A",133,2000-11-04,1348,"Al Gore","DEM",47,"George W. Bush","REP",47,NA,0,2000-11-07,48.38,47.87,0.52,0.52,-0.52,0.5,"","","Harris Insights & Analytics",3,-1.38,-0.869999999999997,"yes","Online",TRUE,6
"2353",15165,20005,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","HrrsI&A",133,2004-10-30,1092,"John Kerry","DEM",45,"George W. Bush","REP",49,NA,-4,2004-11-02,48.26,50.73,-2.46,1.54,-1.54,1,"","","Harris Insights & Analytics",3,-3.26,-1.73,"yes","Online",TRUE,6
"4639",15185,20025,38,"2008","2008_Pres-G_US","US","Pres-G","Pres-G","HrrsI&A",133,2008-11-01,3946,"Barack Obama","DEM",52,"John McCain","REP",44,NA,8,2008-11-04,52.86,45.6,7.26,0.74,0.74,1,"","","Harris Insights & Analytics",3,-0.859999999999999,-1.6,"yes","Online",TRUE,4
"4640",63592,117034,38,"2008","2008_Pres-G_US","US","Pres-G","Pres-G","IBD-TIP",144,2008-11-01,1014,"Barack Obama","DEM",47.5,"John McCain","REP",43,NA,4.5,2008-11-04,52.86,45.6,7.26,2.76,-2.76,1,"","","IBD-TIPP",3,-5.36,-2.6,"yes","Online/Live",TRUE,9.5
"1087",63750,117367,815,"2000","2000_Pres-G_FL","FL","Pres-G","Pres-G","SrvyUSA",325,2000-11-04,500,"Al Gore","DEM",50,"George W. Bush","REP",46,NA,4,2000-11-07,48.84,48.85,-0.01,4.01,4.01,0,"","","SurveyUSA",3,1.16,-2.85,"yes","IVR/Online/Live",TRUE,4
