"","poll_id","question_id","race_id","year","race","location","type_simple","type_detail","pollster","pollster_rating_id","polldate","samplesize","cand1_name","cand1_party","cand1_pct","cand2_name","cand2_party","cand2_pct","cand3_pct","margin_poll","electiondate","cand1_actual","cand2_actual","margin_actual","error","bias","rightcall","comment","partisan","pollsterFull","daysuntil","demBias","repBias"
"1817",63837,117540,764,"2004","2004_Pres-G_FL","FL","Pres-G","Pres-G","ZIn-JZA",395,2004-10-16,2173,"John Kerry","DEM",48.9,"George W. Bush","REP",50.1,NA,-1.2,2004-11-02,47.09,52.1,-5.01,3.81,3.81,1,"","","Zogby Interactive-JZ Analytics",17,1.81,-2
"1818",4695,6060,766,"2004","2004_Pres-G_HI","HI","Pres-G","Pres-G","WR(HS-A",375,2004-10-16,600,"John Kerry","DEM",43,"George W. Bush","REP",43,NA,0,2004-11-02,54.01,45.26,8.74,8.74,-8.74,0.5,"","","Ward Research (Honolulu Star-Advertiser)",17,-11.01,-2.26
"1819",4728,6100,767,"2004","2004_Pres-G_IA","IA","Pres-G","Pres-G","RRp-POR",277,2004-10-16,400,"John Kerry","DEM",46,"George W. Bush","REP",48,NA,-2,2004-11-02,49.23,49.9,-0.67,1.33,-1.33,1,"","","Rasmussen Reports-Pulse Opinion Research",17,-3.23,-1.9
"1820",63840,117543,767,"2004","2004_Pres-G_IA","IA","Pres-G","Pres-G","ZIn-JZA",395,2004-10-16,571,"John Kerry","DEM",51.1,"George W. Bush","REP",47.9,NA,3.2,2004-11-02,49.23,49.9,-0.67,3.87,3.87,0,"","","Zogby Interactive-JZ Analytics",17,1.87,-2
"1821",63842,117545,777,"2004","2004_Pres-G_MI","MI","Pres-G","Pres-G","ZIn-JZA",395,2004-10-16,1224,"John Kerry","DEM",52.6,"George W. Bush","REP",45.9,NA,6.6999998,2004-11-02,51.23,47.81,3.42,3.28,3.28,1,"","","Zogby Interactive-JZ Analytics",17,1.37,-1.91
"1822",63844,117547,778,"2004","2004_Pres-G_MN","MN","Pres-G","Pres-G","ZIn-JZA",395,2004-10-16,784,"John Kerry","DEM",54.2,"George W. Bush","REP",43.1,NA,11.1,2004-11-02,51.09,47.61,3.48,7.62,7.62,1,"","","Zogby Interactive-JZ Analytics",17,3.11,-4.51
"1823",63845,117548,779,"2004","2004_Pres-G_MO","MO","Pres-G","Pres-G","ZIn-JZA",395,2004-10-16,1066,"John Kerry","DEM",47.6,"George W. Bush","REP",50.7,NA,-3.0999999,2004-11-02,46.1,53.3,-7.2,4.1,4.1,1,"","","Zogby Interactive-JZ Analytics",17,1.5,-2.59999999999999
"1824",4668,6025,782,"2004","2004_Pres-G_NC","NC","Pres-G","Pres-G","SrvyUSA",325,2004-10-16,627,"John Kerry","DEM",47,"George W. Bush","REP",50,NA,-3,2004-11-02,43.58,56.02,-12.43,9.43,9.43,1,"","","SurveyUSA",17,3.42,-6.02
"1825",4675,6032,785,"2004","2004_Pres-G_NH","NH","Pres-G","Pres-G","SfflkUn",323,2004-10-16,400,"John Kerry","DEM",46.5,"George W. Bush","REP",41,NA,5.5,2004-11-02,50.24,48.87,1.37,4.13,4.13,1,"average of multiple versions or turnout models listed in poll","","Suffolk University",17,-3.74,-7.87
"1826",63849,117552,785,"2004","2004_Pres-G_NH","NH","Pres-G","Pres-G","ZIn-JZA",395,2004-10-16,520,"John Kerry","DEM",51.1,"George W. Bush","REP",46,NA,5.0999999,2004-11-02,50.24,48.87,1.37,3.73,3.73,1,"","","Zogby Interactive-JZ Analytics",17,0.859999999999999,-2.87
"1827",4674,6045,786,"2004","2004_Pres-G_NJ","NJ","Pres-G","Pres-G","QnnpcUn",267,2004-10-16,786,"John Kerry","DEM",49.5,"George W. Bush","REP",45,NA,4.5,2004-11-02,52.92,46.23,6.68,2.18,-2.18,1,"average of multiple versions or turnout models listed in poll","","Quinnipiac University",17,-3.42,-1.23
"1828",4676,6036,786,"2004","2004_Pres-G_NJ","NJ","Pres-G","Pres-G","RtgrsUn",295,2004-10-16,661,"John Kerry","DEM",51,"George W. Bush","REP",38,NA,13,2004-11-02,52.92,46.23,6.68,6.32,6.32,1,"","","Rutgers University",17,-1.92,-8.23
"1829",63852,117555,787,"2004","2004_Pres-G_NM","NM","Pres-G","Pres-G","ZIn-JZA",395,2004-10-16,520,"John Kerry","DEM",53.6,"George W. Bush","REP",44.1,NA,9.5,2004-11-02,49.05,49.84,-0.79,10.29,10.29,0,"","","Zogby Interactive-JZ Analytics",17,4.55,-5.74
"1830",63854,117557,788,"2004","2004_Pres-G_NV","NV","Pres-G","Pres-G","ZIn-JZA",395,2004-10-16,520,"John Kerry","DEM",45.9,"George W. Bush","REP",49.8,NA,-3.9000001,2004-11-02,47.88,50.47,-2.59,1.31,-1.31,1,"","","Zogby Interactive-JZ Analytics",17,-1.98,-0.670000000000002
"1831",4688,6059,790,"2004","2004_Pres-G_OH","OH","Pres-G","Pres-G","ABCN-WP",3,2004-10-16,789,"John Kerry","DEM",50,"George W. Bush","REP",47,NA,3,2004-11-02,48.71,50.81,-2.11,5.11,5.11,0,"average of multiple versions or turnout models listed in poll","","ABC News-The Washington Post",17,1.29,-3.81
"1832",66294,123402,790,"2004","2004_Pres-G_OH","OH","Pres-G","Pres-G","ZIn-JZA",395,2004-10-16,1981,"John Kerry","DEM",47.6,"George W. Bush","REP",50.6,NA,-3,2004-11-02,48.71,50.81,-2.11,0.89,-0.89,1,"","","Zogby Interactive-JZ Analytics",17,-1.11,-0.210000000000001
"1833",4657,6012,791,"2004","2004_Pres-G_OK","OK","Pres-G","Pres-G","WPAI(WP",383,2004-10-16,500,"John Kerry","DEM",31,"George W. Bush","REP",61,NA,-30,2004-11-02,34.43,65.57,-31.14,1.14,1.14,1,"","","WPA Intelligence (WPAi)",17,-3.43,-4.56999999999999
"1834",63858,117561,792,"2004","2004_Pres-G_OR","OR","Pres-G","Pres-G","ZIn-JZA",395,2004-10-16,882,"John Kerry","DEM",55.7,"George W. Bush","REP",42.6,NA,13.1,2004-11-02,51.35,47.19,4.16,8.94,8.94,1,"","","Zogby Interactive-JZ Analytics",17,4.35,-4.59
"1835",4666,6023,793,"2004","2004_Pres-G_PA","PA","Pres-G","Pres-G","SrvyUSA",325,2004-10-16,619,"John Kerry","DEM",51,"George W. Bush","REP",45,NA,6,2004-11-02,50.92,48.42,2.5,3.5,3.5,1,"","","SurveyUSA",17,0.0799999999999983,-3.42
"1836",63860,117564,793,"2004","2004_Pres-G_PA","PA","Pres-G","Pres-G","ZIn-JZA",395,2004-10-16,1419,"John Kerry","DEM",51.8,"George W. Bush","REP",46.1,NA,5.6999998,2004-11-02,50.92,48.42,2.5,3.2,3.2,1,"","","Zogby Interactive-JZ Analytics",17,0.879999999999995,-2.32
"1837",63862,117566,797,"2004","2004_Pres-G_TN","TN","Pres-G","Pres-G","ZIn-JZA",395,2004-10-16,999,"John Kerry","DEM",47.8,"George W. Bush","REP",50.3,NA,-2.5,2004-11-02,42.51,56.81,-14.3,11.8,11.8,1,"","","Zogby Interactive-JZ Analytics",17,5.29,-6.51000000000001
"1838",4669,6026,802,"2004","2004_Pres-G_WA","WA","Pres-G","Pres-G","SrvyUSA",325,2004-10-16,634,"John Kerry","DEM",52,"George W. Bush","REP",45,NA,7,2004-11-02,52.77,45.6,7.17,0.17,-0.17,1,"","","SurveyUSA",17,-0.770000000000003,-0.600000000000001
"1839",63865,117578,802,"2004","2004_Pres-G_WA","WA","Pres-G","Pres-G","ZIn-JZA",395,2004-10-16,1419,"John Kerry","DEM",54.3,"George W. Bush","REP",43.9,NA,10.4,2004-11-02,52.77,45.6,7.17,3.23,3.23,1,"","","Zogby Interactive-JZ Analytics",17,1.52999999999999,-1.7
"1840",63867,117587,803,"2004","2004_Pres-G_WI","WI","Pres-G","Pres-G","ZIn-JZA",395,2004-10-16,882,"John Kerry","DEM",51.3,"George W. Bush","REP",47.5,NA,3.8,2004-11-02,49.7,49.32,0.38,3.42,3.42,1,"","","Zogby Interactive-JZ Analytics",17,1.59999999999999,-1.82
"1841",63868,117592,804,"2004","2004_Pres-G_WV","WV","Pres-G","Pres-G","ZIn-JZA",395,2004-10-16,496,"John Kerry","DEM",45.8,"George W. Bush","REP",48.6,NA,-2.8,2004-11-02,43.2,56.06,-12.86,10.06,10.06,1,"","","Zogby Interactive-JZ Analytics",17,2.59999999999999,-7.46
"1861",15295,20135,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","NBCNWSJ",221,2004-10-17,600,"John Kerry","DEM",48,"George W. Bush","REP",48,NA,0,2004-11-02,48.26,50.73,-2.46,2.46,2.46,0.5,"sample size unavailable; estimated at 600 as a default","","NBC News-The Wall Street Journal",16,-0.259999999999998,-2.73
"1862",15361,20201,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","PwRsrcC",253,2004-10-17,600,"John Kerry","DEM",47,"George W. Bush","REP",47,NA,0,2004-11-02,48.26,50.73,-2.46,2.46,2.46,0.5,"sample size unavailable; estimated at 600 as a default","","Pew Research Center",16,-1.26,-3.73
"1863",4636,5985,759,"2004","2004_Pres-G_CA","CA","Pres-G","Pres-G","StrVLLC",320,2004-10-17,801,"John Kerry","DEM",50,"George W. Bush","REP",41,NA,9,2004-11-02,54.3,44.36,9.95,0.95,-0.95,1,"","","Strategic Vision LLC",16,-4.3,-3.36
"1864",25078,6013,760,"2004","2004_Pres-G_CO","CO","Pres-G","Pres-G","CrlAssc",51,2004-10-17,600,"John Kerry","DEM",42.5,"George W. Bush","REP",49,NA,-6.5,2004-11-02,47.02,51.69,-4.67,1.83,-1.83,1,"average of multiple versions or turnout models listed in poll; among registered voters","","Ciruli Associates",16,-4.52,-2.69
"1865",4652,6021,764,"2004","2004_Pres-G_FL","FL","Pres-G","Pres-G","QnnpcUn",267,2004-10-17,808,"John Kerry","DEM",47,"George W. Bush","REP",48.5,NA,-1.5,2004-11-02,47.09,52.1,-5.01,3.51,3.51,1,"average of multiple versions or turnout models listed in poll","","Quinnipiac University",16,-0.0900000000000034,-3.6
"1866",4677,6034,767,"2004","2004_Pres-G_IA","IA","Pres-G","Pres-G","CnSInc.",46,2004-10-17,502,"John Kerry","DEM",46,"George W. Bush","REP",45,NA,1,2004-11-02,49.23,49.9,-0.67,1.67,1.67,0,"","","Central Surveys Inc.",16,-3.23,-4.9
"1867",4658,6014,767,"2004","2004_Pres-G_IA","IA","Pres-G","Pres-G","Ms-DP&S",197,2004-10-17,625,"John Kerry","DEM",43,"George W. Bush","REP",49,NA,-6,2004-11-02,49.23,49.9,-0.67,5.33,-5.33,1,"","","Mason-Dixon Polling & Strategy",16,-6.23,-0.899999999999999
"1868",25092,6006,773,"2004","2004_Pres-G_LA","LA","Pres-G","Pres-G","ER-LUNO",85,2004-10-17,600,"John Kerry","DEM",37,"George W. Bush","REP",46,NA,-9,2004-11-02,42.22,56.72,-14.51,5.51,5.51,1,"among registered voters","","Ed Renwick-Loyola University New Orleans",16,-5.22,-10.72
"1869",4697,6062,773,"2004","2004_Pres-G_LA","LA","Pres-G","Pres-G","UnvroNO",358,2004-10-17,700,"John Kerry","DEM",40,"George W. Bush","REP",48,NA,-8,2004-11-02,42.22,56.72,-14.51,6.51,6.51,1,"among registered voters","","University of New Orleans",16,-2.22,-8.72
"1870",4659,6015,777,"2004","2004_Pres-G_MI","MI","Pres-G","Pres-G","Ms-DP&S",197,2004-10-17,625,"John Kerry","DEM",47,"George W. Bush","REP",46,NA,1,2004-11-02,51.23,47.81,3.42,2.42,-2.42,1,"","","Mason-Dixon Polling & Strategy",16,-4.23,-1.81
"1871",4656,6011,778,"2004","2004_Pres-G_MN","MN","Pres-G","Pres-G","Ms-DP&S",197,2004-10-17,625,"John Kerry","DEM",45,"George W. Bush","REP",47,NA,-2,2004-11-02,51.09,47.61,3.48,5.48,-5.48,0,"","","Mason-Dixon Polling & Strategy",16,-6.09,-0.609999999999999
"1872",4644,5997,779,"2004","2004_Pres-G_MO","MO","Pres-G","Pres-G","SrvyUSA",325,2004-10-17,670,"John Kerry","DEM",45,"George W. Bush","REP",51,NA,-6,2004-11-02,46.1,53.3,-7.2,1.2,1.2,1,"","","SurveyUSA",16,-1.1,-2.3
"1873",4639,5990,785,"2004","2004_Pres-G_NH","NH","Pres-G","Pres-G","AmrcnRG",9,2004-10-17,600,"John Kerry","DEM",46.5,"George W. Bush","REP",47,NA,-0.5,2004-11-02,50.24,48.87,1.37,1.87,-1.87,0,"average of multiple versions or turnout models listed in poll","","American Research Group",16,-3.74,-1.87
"1874",4696,6061,786,"2004","2004_Pres-G_NJ","NJ","Pres-G","Pres-G","FDU(PM)",92,2004-10-17,503,"John Kerry","DEM",49,"George W. Bush","REP",41,NA,8,2004-11-02,52.92,46.23,6.68,1.32,1.32,1,"","","Fairleigh Dickinson University (PublicMind)",16,-3.92,-5.23
"1875",4635,5984,786,"2004","2004_Pres-G_NJ","NJ","Pres-G","Pres-G","StrVLLC",320,2004-10-17,801,"John Kerry","DEM",44.5,"George W. Bush","REP",43,NA,1.5,2004-11-02,52.92,46.23,6.68,5.18,-5.18,1,"average of multiple versions or turnout models listed in poll","","Strategic Vision LLC",16,-8.42,-3.23
"1876",4641,5992,786,"2004","2004_Pres-G_NJ","NJ","Pres-G","Pres-G","SrvyUSA",325,2004-10-17,703,"John Kerry","DEM",51,"George W. Bush","REP",43,NA,8,2004-11-02,52.92,46.23,6.68,1.32,1.32,1,"","","SurveyUSA",16,-1.92,-3.23
"1877",4642,5994,787,"2004","2004_Pres-G_NM","NM","Pres-G","Pres-G","AmrcnRG",9,2004-10-17,600,"John Kerry","DEM",48,"George W. Bush","REP",46.5,NA,1.5,2004-11-02,49.05,49.84,-0.79,2.29,2.29,0,"average of multiple versions or turnout models listed in poll","","American Research Group",16,-1.05,-3.34
"1878",4662,6018,787,"2004","2004_Pres-G_NM","NM","Pres-G","Pres-G","Ms-DP&S",197,2004-10-17,625,"John Kerry","DEM",44,"George W. Bush","REP",49,NA,-5,2004-11-02,49.05,49.84,-0.79,4.21,-4.21,1,"","","Mason-Dixon Polling & Strategy",16,-5.05,-0.840000000000003
"1879",4686,6043,788,"2004","2004_Pres-G_NV","NV","Pres-G","Pres-G","Ms-DP&S",197,2004-10-17,625,"John Kerry","DEM",42,"George W. Bush","REP",52,NA,-10,2004-11-02,47.88,50.47,-2.59,7.41,-7.41,1,"","","Mason-Dixon Polling & Strategy",16,-5.88,1.53
"1880",4650,6005,788,"2004","2004_Pres-G_NV","NV","Pres-G","Pres-G","SrvyUSA",325,2004-10-17,585,"John Kerry","DEM",45,"George W. Bush","REP",52,NA,-7,2004-11-02,47.88,50.47,-2.59,4.41,-4.41,1,"","","SurveyUSA",16,-2.88,1.53
"1881",4678,6035,790,"2004","2004_Pres-G_OH","OH","Pres-G","Pres-G","Ms-DP&S",197,2004-10-17,625,"John Kerry","DEM",45,"George W. Bush","REP",46,NA,-1,2004-11-02,48.71,50.81,-2.11,1.11,1.11,1,"","","Mason-Dixon Polling & Strategy",16,-3.71,-4.81
"1882",4645,5998,790,"2004","2004_Pres-G_OH","OH","Pres-G","Pres-G","SrvyUSA",325,2004-10-17,698,"John Kerry","DEM",49,"George W. Bush","REP",47,NA,2,2004-11-02,48.71,50.81,-2.11,4.11,4.11,0,"","","SurveyUSA",16,0.289999999999999,-3.81
"1883",4670,6028,792,"2004","2004_Pres-G_OR","OR","Pres-G","Pres-G","Gallup",112,2004-10-17,700,"John Kerry","DEM",53,"George W. Bush","REP",45,NA,8,2004-11-02,51.35,47.19,4.16,3.84,3.84,1,"","","Gallup",16,1.65,-2.19
"1884",4661,6017,792,"2004","2004_Pres-G_OR","OR","Pres-G","Pres-G","Ms-DP&S",197,2004-10-17,625,"John Kerry","DEM",47,"George W. Bush","REP",46,NA,1,2004-11-02,51.35,47.19,4.16,3.16,-3.16,1,"","","Mason-Dixon Polling & Strategy",16,-4.35,-1.19
"1885",4653,6008,793,"2004","2004_Pres-G_PA","PA","Pres-G","Pres-G","Ms-DP&S",197,2004-10-17,625,"John Kerry","DEM",46,"George W. Bush","REP",45,NA,1,2004-11-02,50.92,48.42,2.5,1.5,-1.5,1,"","","Mason-Dixon Polling & Strategy",16,-4.92,-3.42
"1886",4646,5999,800,"2004","2004_Pres-G_VA","VA","Pres-G","Pres-G","SrvyUSA",325,2004-10-17,664,"John Kerry","DEM",46,"George W. Bush","REP",50,NA,-4,2004-11-02,45.48,53.68,-8.2,4.2,4.2,1,"","","SurveyUSA",16,0.520000000000003,-3.68
"1887",4643,6004,802,"2004","2004_Pres-G_WA","WA","Pres-G","Pres-G","StrVLLC",320,2004-10-17,801,"John Kerry","DEM",50.5,"George W. Bush","REP",45,NA,5.5,2004-11-02,52.77,45.6,7.17,1.67,-1.67,1,"average of multiple versions or turnout models listed in poll","","Strategic Vision LLC",16,-2.27,-0.600000000000001
"1888",4693,6056,803,"2004","2004_Pres-G_WI","WI","Pres-G","Pres-G","HmphryI",143,2004-10-17,623,"John Kerry","DEM",47.5,"George W. Bush","REP",48.5,NA,-1,2004-11-02,49.7,49.32,0.38,1.38,-1.38,0,"average of multiple versions or turnout models listed in poll","","Humphrey Institute",16,-2.2,-0.82
"1889",4654,6009,803,"2004","2004_Pres-G_WI","WI","Pres-G","Pres-G","Ms-DP&S",197,2004-10-17,625,"John Kerry","DEM",45,"George W. Bush","REP",45,NA,0,2004-11-02,49.7,49.32,0.38,0.38,-0.38,0.5,"","","Mason-Dixon Polling & Strategy",16,-4.7,-4.32
"1904",14798,20490,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","ABCN-WP",3,2004-10-18,1801,"John Kerry","DEM",46.5,"George W. Bush","REP",50.5,NA,-4,2004-11-02,48.26,50.73,-2.46,1.54,-1.54,1,"average of multiple versions or turnout models listed in poll","","ABC News-The Washington Post",15,-1.76,-0.229999999999997
"1905",15040,19880,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","FN-ODC.",104,2004-10-18,1200,"John Kerry","DEM",42,"George W. Bush","REP",49,NA,-7,2004-11-02,48.26,50.73,-2.46,4.54,-4.54,1,"","","Fox News-Opinion Dynamics Corp.",15,-6.26,-1.73
"1906",15020,19860,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","GQRR(GQ",126,2004-10-18,1000,"John Kerry","DEM",50,"George W. Bush","REP",47,NA,3,2004-11-02,48.26,50.73,-2.46,5.46,5.46,0,"","","GQR Research (GQRR)",15,1.74,-3.73
"1907",38560,20110,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","MrstCll",183,2004-10-18,772,"John Kerry","DEM",48,"George W. Bush","REP",49,NA,-1,2004-11-02,48.26,50.73,-2.46,1.46,1.46,1,"","","Marist College",15,-0.259999999999998,-1.73
"1908",63659,117161,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","RRp-POR",277,2004-10-18,3000,"John Kerry","DEM",47,"George W. Bush","REP",48,NA,-1,2004-11-02,48.26,50.73,-2.46,1.46,1.46,1,"","","Rasmussen Reports-Pulse Opinion Research",15,-1.26,-2.73
"1909",15757,20597,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","ZIn-JZA",395,2004-10-18,1200,"John Kerry","DEM",46,"George W. Bush","REP",46,NA,0,2004-11-02,48.26,50.73,-2.46,2.46,2.46,0.5,"","","Zogby Interactive-JZ Analytics",15,-2.26,-4.73
"1910",4632,5980,758,"2004","2004_Pres-G_AZ","AZ","Pres-G","Pres-G","SrvyUSA",325,2004-10-18,616,"John Kerry","DEM",43,"George W. Bush","REP",54,NA,-11,2004-11-02,44.32,54.77,-10.45,0.55,-0.55,1,"","","SurveyUSA",15,-1.32,-0.770000000000003
"1911",4601,5941,760,"2004","2004_Pres-G_CO","CO","Pres-G","Pres-G","RRp-POR",277,2004-10-18,500,"John Kerry","DEM",45,"George W. Bush","REP",50,NA,-5,2004-11-02,47.02,51.69,-4.67,0.33,-0.33,1,"","","Rasmussen Reports-Pulse Opinion Research",15,-2.02,-1.69
"1912",4631,5979,765,"2004","2004_Pres-G_GA","GA","Pres-G","Pres-G","StrVLLC",320,2004-10-18,801,"John Kerry","DEM",40,"George W. Bush","REP",57,NA,-17,2004-11-02,41.34,57.93,-16.59,0.41,-0.41,1,"","","Strategic Vision LLC",15,-1.34,-0.93
"1913",4638,5987,769,"2004","2004_Pres-G_IL","IL","Pres-G","Pres-G","MrSCrp.",187,2004-10-18,700,"John Kerry","DEM",50,"George W. Bush","REP",42,NA,8,2004-11-02,54.82,44.48,10.34,2.34,-2.34,1,"","","Market Shares Corp.",15,-4.82,-2.48
"1914",4663,6019,769,"2004","2004_Pres-G_IL","IL","Pres-G","Pres-G","RDRInc.",287,2004-10-18,828,"John Kerry","DEM",52,"George W. Bush","REP",42,NA,10,2004-11-02,54.82,44.48,10.34,0.34,-0.34,1,"among registered voters","","Richard Day Research Inc.",15,-2.82,-2.48
"1915",4628,5975,770,"2004","2004_Pres-G_IN","IN","Pres-G","Pres-G","SrvyUSA",325,2004-10-18,602,"John Kerry","DEM",37,"George W. Bush","REP",59,NA,-22,2004-11-02,39.26,59.94,-20.68,1.32,-1.32,1,"","","SurveyUSA",15,-2.26,-0.939999999999998
"1916",4629,5976,772,"2004","2004_Pres-G_KY","KY","Pres-G","Pres-G","SrvyUSA",325,2004-10-18,629,"John Kerry","DEM",37,"George W. Bush","REP",59,NA,-22,2004-11-02,39.68,59.54,-19.86,2.14,-2.14,1,"","","SurveyUSA",15,-2.68,-0.539999999999999
"1917",4614,5957,773,"2004","2004_Pres-G_LA","LA","Pres-G","Pres-G","MrktRsI",185,2004-10-18,600,"John Kerry","DEM",37,"George W. Bush","REP",52,NA,-15,2004-11-02,42.22,56.72,-14.51,0.49,-0.49,1,"","","Market Research Insight",15,-5.22,-4.72
"1918",4630,5977,776,"2004","2004_Pres-G_ME","ME","Pres-G","Pres-G","SrvyUSA",325,2004-10-18,660,"John Kerry","DEM",51,"George W. Bush","REP",45,NA,6,2004-11-02,53.57,44.58,9,3,-3,1,"","","SurveyUSA",15,-2.57,0.420000000000002
"1919",64882,120178,779,"2004","2004_Pres-G_MO","MO","Pres-G","Pres-G","Ms-DP&S",197,2004-10-18,625,"John Kerry","DEM",44,"George W. Bush","REP",49,NA,-5,2004-11-02,46.1,53.3,-7.2,2.2,2.2,1,"","","Mason-Dixon Polling & Strategy",15,-2.1,-4.3
"1920",4660,6016,784,"2004","2004_Pres-G_NE","NE","Pres-G","Pres-G","RKMRaCI",272,2004-10-18,1007,"John Kerry","DEM",32,"George W. Bush","REP",61,NA,-29,2004-11-02,32.68,65.9,-33.22,4.22,4.22,1,"","","RKM Research and Communications Inc.",15,-0.68,-4.90000000000001
"1921",4605,5945,785,"2004","2004_Pres-G_NH","NH","Pres-G","Pres-G","RRp-POR",277,2004-10-18,500,"John Kerry","DEM",49,"George W. Bush","REP",47,NA,2,2004-11-02,50.24,48.87,1.37,0.63,0.63,1,"","","Rasmussen Reports-Pulse Opinion Research",15,-1.24,-1.87
"1922",4637,5986,788,"2004","2004_Pres-G_NV","NV","Pres-G","Pres-G","BldnRss",28,2004-10-18,600,"John Kerry","DEM",43,"George W. Bush","REP",47,NA,-4,2004-11-02,47.88,50.47,-2.59,1.41,-1.41,1,"","","Belden Russonello",15,-4.88,-3.47
"1923",4617,5962,790,"2004","2004_Pres-G_OH","OH","Pres-G","Pres-G","FN-ODC.",104,2004-10-18,800,"John Kerry","DEM",44.5,"George W. Bush","REP",48,NA,-3.5,2004-11-02,48.71,50.81,-2.11,1.39,-1.39,1,"average of multiple versions or turnout models listed in poll","","Fox News-Opinion Dynamics Corp.",15,-4.21,-2.81
"1924",4634,6003,793,"2004","2004_Pres-G_PA","PA","Pres-G","Pres-G","QnnpcUn",267,2004-10-18,841,"John Kerry","DEM",50.5,"George W. Bush","REP",45,NA,5.5,2004-11-02,50.92,48.42,2.5,3,3,1,"average of multiple versions or turnout models listed in poll","","Quinnipiac University",15,-0.420000000000002,-3.42
"1925",4620,5967,793,"2004","2004_Pres-G_PA","PA","Pres-G","Pres-G","StrVLLC",320,2004-10-18,801,"John Kerry","DEM",46.5,"George W. Bush","REP",46,NA,0.5,2004-11-02,50.92,48.42,2.5,2,-2,1,"average of multiple versions or turnout models listed in poll","","Strategic Vision LLC",15,-4.42,-2.42
"1926",4633,5981,797,"2004","2004_Pres-G_TN","TN","Pres-G","Pres-G","SrvyUSA",325,2004-10-18,615,"John Kerry","DEM",38,"George W. Bush","REP",60,NA,-22,2004-11-02,42.51,56.81,-14.3,7.7,-7.7,1,"","","SurveyUSA",15,-4.51,3.19
"1927",4640,5995,803,"2004","2004_Pres-G_WI","WI","Pres-G","Pres-G","AmrcnRG",9,2004-10-18,600,"John Kerry","DEM",47,"George W. Bush","REP",47,NA,0,2004-11-02,49.7,49.32,0.38,0.38,-0.38,0.5,"average of multiple versions or turnout models listed in poll","","American Research Group",15,-2.7,-2.32
"1928",4647,6000,803,"2004","2004_Pres-G_WI","WI","Pres-G","Pres-G","Gallup",112,2004-10-18,678,"John Kerry","DEM",44,"George W. Bush","REP",50,NA,-6,2004-11-02,49.7,49.32,0.38,6.38,-6.38,0,"","","Gallup",15,-5.7,0.68
"1929",4627,5974,803,"2004","2004_Pres-G_WI","WI","Pres-G","Pres-G","StrVLLC",320,2004-10-18,801,"John Kerry","DEM",46.5,"George W. Bush","REP",49,NA,-2.5,2004-11-02,49.7,49.32,0.38,2.88,-2.88,0,"average of multiple versions or turnout models listed in poll","","Strategic Vision LLC",15,-3.2,-0.32
"1949",14906,19746,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","Ipsos",154,2004-10-19,976,"John Kerry","DEM",49,"George W. Bush","REP",46,NA,3,2004-11-02,48.26,50.73,-2.46,5.46,5.46,0,"","","Ipsos",14,0.740000000000002,-4.73
"1950",4608,5950,757,"2004","2004_Pres-G_AR","AR","Pres-G","Pres-G","OpnnRsA",242,2004-10-19,500,"John Kerry","DEM",48,"George W. Bush","REP",48,NA,0,2004-11-02,44.55,54.31,-9.76,9.76,9.76,0.5,"","","Opinion Research Associates",14,3.45,-6.31
"1951",4589,5927,758,"2004","2004_Pres-G_AZ","AZ","Pres-G","Pres-G","MrktSlG",188,2004-10-19,600,"John Kerry","DEM",40,"George W. Bush","REP",47,NA,-7,2004-11-02,44.32,54.77,-10.45,3.45,3.45,1,"","","Market Solutions Group",14,-4.32,-7.77
"1952",4611,5954,760,"2004","2004_Pres-G_CO","CO","Pres-G","Pres-G","SrvyUSA",325,2004-10-19,596,"John Kerry","DEM",45,"George W. Bush","REP",52,NA,-7,2004-11-02,47.02,51.69,-4.67,2.33,-2.33,1,"","","SurveyUSA",14,-2.02,0.310000000000002
"1953",4606,5947,764,"2004","2004_Pres-G_FL","FL","Pres-G","Pres-G","StrVLLC",320,2004-10-19,801,"John Kerry","DEM",46.5,"George W. Bush","REP",49,NA,-2.5,2004-11-02,47.09,52.1,-5.01,2.51,2.51,1,"average of multiple versions or turnout models listed in poll","","Strategic Vision LLC",14,-0.590000000000003,-3.1
"1954",25292,117298,765,"2004","2004_Pres-G_GA","GA","Pres-G","Pres-G","SrvyUSA",325,2004-10-19,609,"John Kerry","DEM",40,"George W. Bush","REP",57,NA,-17,2004-11-02,41.34,57.93,-16.59,0.41,-0.41,1,"","","SurveyUSA",14,-1.34,-0.93
"1955",4616,5959,766,"2004","2004_Pres-G_HI","HI","Pres-G","Pres-G","SMR&MSI",296,2004-10-19,612,"John Kerry","DEM",45,"George W. Bush","REP",46,NA,-1,2004-11-02,54.01,45.26,8.74,9.74,-9.74,0,"","","SMS Research & Marketing Services Inc.",14,-9.01,0.740000000000002
